"session","created","modified","ended","expired","Angry55_type","Angry130_type","Happy103_type","Happy338_type","Happy348_type","Sad59_type","Sad63_type","Sad134_type","Neutral68_type","Neutral91_type","Neutral158_type","Neutral169_type","Angry84_type","Angry55_intensity_Happy","Angry130_intensity_Happy","Happy103_intensity_Happy","Happy338_intensity_Happy","Happy348_intensity_Happy","Sad59_intensity_Happy","Sad63_intensity_Happy","Sad134_intensity_Happy","Neutral68_intensity_Happy","Neutral91_intensity_Happy","Neutral158_intensity_Happy","Neutral169_intensity_Happy","Angry84_intensity_Happy","Angry55_intensity_Sad","Angry130_intensity_Sad","Happy103_intensity_Sad","Happy338_intensity_Sad","Happy348_intensity_Sad","Sad59_intensity_Sad","Sad63_intensity_Sad","Sad134_intensity_Sad","Neutral68_intensity_Sad","Neutral91_intensity_Sad","Neutral158_intensity_Sad","Neutral169_intensity_Sad","Angry84_intensity_Sad","Angry84_intensity_Angry","Angry55_intensity_Angry","Angry130_intensity_Angry","Happy103_intensity_Angry","Happy338_intensity_Angry","Happy348_intensity_Angry","Sad59_intensity_Angry","Sad63_intensity_Angry","Sad134_intensity_Angry","age","Neutral68_intensity_Angry","Neutral91_intensity_Angry","Neutral158_intensity_Angry","Neutral169_intensity_Angry","specify_A84","specify_A55","specify_A130","specify_H103","specify_H338","specify_H348","specify_S59","specify_S63","specify_S134","gender","specify_N68","specify_N91","specify_N158","specify_N169","feedback"
"XhRnVd4xBqZ7-6wHcLEN7Jd0zUILFkWhrgQB8CjCwmTcue8oRH3fKRkBnSlRFkFX","2019-04-08 15:27:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"urcojifbHiK6tpMll4HADX5jfEOFsQpSN_yjzE00UcivgfVMDrnrwmxy1KoR2rjx","2019-04-08 15:27:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73xZ8LdIR8JpR0GjqYYYvzQuE5SvblkP4YJcXL_pnYlFssC-OZ4LoZau77p0Ow6T","2019-04-08 15:30:29","2019-04-08 15:30:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cX0mcUNxUz93CfulmnX9OFZOC_-w6DeRhAOQxWLWQ08bm9CF--cvPk2YFkqdstrq","2019-04-08 15:36:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"qMUK_3jQGh2tAuUUXp2AKTjsSrIn6c96CYXDW1GhkiJkZGIVdz0-8BdLKA7JC_cF","2019-04-08 15:53:28","2019-04-08 18:10:28","2019-04-08 18:10:28","","4","4","2","2","5","3","3","3","5","5","5","2","4","","","100","84","","","","","","","","3","","","","","","","19","48","85","","","","","","100","51","71","","","","","","","27","","","","","","","","","","Slight happiness but showcased in a taunting manner","","","","2","Mild surprise","surprise","Playful. It looks like it found something interesting.","",""
"2_aW4jL28PGYByRAKyqqTae59nt21g01b_-7H6aBwLFUHazlf7Qs-aAYRnkTNRZy","2019-04-08 16:31:17","2019-04-08 17:59:00","2019-04-08 17:59:00","","4","4","2","2","2","3","3","3","4","6","2","5","4","","","78","65","68","","","","","","63","","","","","","","","59","25","98","","","","","","75","17","31","","","","","","","28","36","","","","","","","","","","","","","1","","","","Excited","The robot is sooooo cute! "
"IKc3rzRvGR8w47X4RiFzUIsk6zdkWnkjqFT3oCcIsdw1ZvJL_nrkTERYxfDTEKBl","2019-04-08 16:41:39","2019-04-08 16:42:56","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","1","","","","",""
"Rzik9peaJelFkJPBR0l6EeIhWWfGGwI8kG6Quv1CEMVAPZYG6jFLbgKfxqhq4ZaV","2019-04-08 16:48:02","2019-04-08 16:49:39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","","","","","","","1","","","","",""
"jJS6HZbmIgRAjRYW1w4A_81NlfKlVHu2KvgkxK0QL6clIDVSutaANSpFpMZd9Bnu","2019-04-08 17:34:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0exGjT2PhU0HuZKtVWxPk55K38oSg3B7R2pXSZii8M1pLLuHqll5T8FDCwSjl7fq","2019-04-08 17:35:20","2019-04-10 01:25:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
